company,ISIN,yf_ticker,sector,industry
AMICA,PLAMICA00010,AMC.WA,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
WAWEL,PLWAWEL00013,WWL.WA,Consumer Defensive,Confectioners
APATOR,PLAPATR00018,APT.WA,Industrials,Electrical Equipment & Parts
OPONEO.PL,PLOPNPL00013,OPN.WA,Consumer Cyclical,Auto Parts
SHOPER,PLSHPR000021,SHO.WA,Technology,Software - Application
GREENX,AU0000198939,GRX.WA,Basic Materials,Copper
CLNPHARMA,PLCLNPH00015,CLN.WA,Healthcare,Drug Manufacturers - Specialty & Generic
DECORA,PLDECOR00013,DCR.WA,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
UNIMOT,PLUNMOT00013,UNT.WA,Consumer Cyclical,Specialty Retail
ZEPAK,PLZEPAK00012,ZEP.WA,Utilities,Utilities - Independent Power Producers
COGNOR,PLCNTSL00014,COG.WA,Basic Materials,Steel
COMP,PLCMP0000017,CMP.WA,Technology,Information Technology Services
TARCZYNSKI,PLTRCZN00016,TAR.WA,Consumer Defensive,Packaged Foods
TOYA,PLTOYA000011,TOA.WA,Industrials,Tools & Accessories
FORTE,PLFORTE00012,FTE.WA,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
POLIMEXMS,PLMSTSD00019,PXM.WA,Industrials,Engineering & Construction
LUBAWA,PLLUBAW00013,LBW.WA,Industrials,Aerospace & Defense
KOGENERA,PLKGNRC00015,KGN.WA,Utilities,Utilities - Regulated Electric
PCCROKITA,PLPCCRK00076,PCR.WA,Basic Materials,Chemicals
UNICREDIT,IT0005239360,UCG.WA,Financial Services,Banks - Regional
AMBRA,PLAMBRA00013,AMB.WA,Consumer Defensive,Beverages - Wineries & Distilleries
ENELMED,PLENLMD00017,ENE.WA,Healthcare,Medical Care Facilities
STALEXP,PLSTLEX00019,STX.WA,Industrials,Infrastructure Operations
SCPFL,PLSCPFL00018,SCP.WA,Healthcare,Diagnostics & Research
MCI,PLMCIMG00012,MCI.WA,Financial Services,Asset Management
BORYSZEW,PLBRSZW00011,BRS.WA,Industrials,Conglomerates
DATAWALK,PLPILAB00012,DAT.WA,Technology,Software - Infrastructure
BLOOBER,PLBLOBR00014,BLO.WA,Communication Services,Electronic Gaming & Multimedia
PEKABEX,PLPKBEX00072,PBX.WA,Industrials,Engineering & Construction
ONDE,PLONDE000018,OND.WA,Industrials,Engineering & Construction
WITTCHEN,PLWTCHN00030,WTN.WA,Consumer Cyclical,Apparel Retail
CREOTECH,PLCRTCH00017,CRI.WA,Industrials,Aerospace & Defense
POLICE,PLZCPLC00036,PCE.WA,Basic Materials,Agricultural Inputs
SNTVERSE,PLBMDLB00018,SVE.WA,Healthcare,Biotechnology
ERBUD,PLERBUD00012,ERB.WA,Industrials,Engineering & Construction
CAPTORTX,PLCPTRT00014,CTX.WA,Healthcare,Biotechnology
MANGATA,PLZTKMA00017,MGT.WA,Industrials,Tools & Accessories
ACAUTOGAZ,PLACSA000014,ACG.WA,Consumer Cyclical,Auto Parts
ELEKTROTI,PLELEKT00016,ELT.WA,Industrials,Electrical Equipment & Parts
PCFGROUP,PLPCFGR00010,PCF.WA,Communication Services,Electronic Gaming & Multimedia
ASTARTA,NL0000686509,AST.WA,Consumer Defensive,Farm Products
KRKA,SI0031102120,KRK.WA,Healthcare,Drug Manufacturers - Specialty & Generic
CREEPYJAR,PLCRPJR00019,CRJ.WA,Communication Services,Electronic Gaming & Multimedia
INSTALKRK,PLINSTK00013,INK.WA,Industrials,Engineering & Construction
SELENAFM,PLSELNA00010,SEL.WA,Basic Materials,Specialty Chemicals
MABION,PLMBION00016,MAB.WA,Healthcare,Biotechnology
MOSTALZAB,PLMSTZB00018,MSZ.WA,Industrials,Engineering & Construction
QUERCUS,PLQRCUS00012,QRS.WA,Financial Services,Asset Management
VOTUM,PLVOTUM00016,VOT.WA,Industrials,Specialty Business Services
MERCOR,PLMRCOR00016,MCR.WA,Industrials,Security & Protection Services
SYGNITY,PLCMPLD00016,SGN.WA,Technology,Information Technology Services
BIOTON,PLBIOTN00029,BIO.WA,Healthcare,Biotechnology
PHN,PLPHN0000014,PHN.WA,Real Estate,Real Estate Services
ARTIFEX,PLARTFX00011,ART.WA,Communication Services,Electronic Gaming & Multimedia
CIGAMES,PLCTINT00018,CIG.WA,Communication Services,Electronic Gaming & Multimedia
MOLECURE,PLONCTH00011,MOC.WA,Healthcare,Biotechnology
ATMGRUPA,PLATM0000021,ATG.WA,Communication Services,Entertainment
BIOCELTIX,PLBCLTX00019,BCX.WA,Healthcare,Biotechnology
XTPL,PLXTPL000018,XTP.WA,Technology,Electronic Components
ACTION,PLACTIN00018,ACT.WA,Technology,Computer Hardware
RANKPROGR,PLRNKPR00014,RNK.WA,Real Estate,Real Estate - Diversified
MERCATOR,PLMRCTR00015,MRC.WA,Healthcare,Medical Instruments & Supplies
RAWLPLUG,PLKLNR000017,RWL.WA,Industrials,Tools & Accessories
PHOTON,NL0010391108,PEN.WA,Technology,Solar
MEDICALG,PLMDCLG00015,MDG.WA,Healthcare,Medical Devices
WIELTON,PLWELTN00012,WLT.WA,Industrials,Farm & Heavy Construction Machinery
MLSYSTEM,PLMLSTM00015,MLS.WA,Technology,Solar
SECOGROUP,PLWRWCK00013,SWG.WA,Industrials,Specialty Industrial Machinery
UNIBEP,PLUNBEP00015,UNI.WA,Industrials,Engineering & Construction
OTLOG,PLODRTS00017,OTS.WA,Industrials,Integrated Freight & Logistics
INPRO,PLINPRO00015,INP.WA,Real Estate,Real Estate - Development
KINOPOL,PLKNOPL00014,KPL.WA,Communication Services,Broadcasting
AILLERON,PLWNDMB00010,ALL.WA,Technology,Software - Infrastructure
GENOMTEC,PLGNMTC00017,GMT.WA,Healthcare,Medical Devices
ZUE,PLZUE0000015,ZUE.WA,Industrials,Infrastructure Operations
COLUMBUS,PLSTIGR00012,CLC.WA,Technology,Solar
POLTREG,PLPLTRG00038,PTG.WA,Healthcare,Biotechnology
CLOUD,PLCLDTC00019,CLD.WA,Technology,Software - Infrastructure
ULMA,PLBAUMA00017,ULM.WA,Industrials,Rental & Leasing Services
JRHOLDING,PLJRINV00013,JRH.WA,Financial Services,Asset Management
DADELO,PLDADEL00013,DAD.WA,Consumer Cyclical,Specialty Retail
CAVATINA,PLCVTNH00040,CAV.WA,Real Estate,Real Estate - Development
MONNARI,PLMNRTR00012,MON.WA,Consumer Cyclical,Apparel Manufacturing
SONEL,PLSONEL00011,SON.WA,Technology,Scientific & Technical Instruments
RAFAKO,PLRAFAK00018,RFK.WA,Industrials,Specialty Industrial Machinery
SPYROSOFT,PLSPRSF00011,SPR.WA,Technology,Software - Application
MARVIPOL,PLMRVDV00011,MVP.WA,Real Estate,Real Estate - Development
ANSWEAR,PLANSWR00019,ANR.WA,Consumer Cyclical,Internet Retail
MFO,PLMFO0000013,MFO.WA,Industrials,Metal Fabrication
PANOVA,PLPANVA00013,NVA.WA,Industrials,Engineering & Construction
BUMECH,PLBMECH00012,BMC.WA,Energy,Thermal Coal
ODLEWNIE,PLODLPL00013,ODL.WA,Industrials,Metal Fabrication
OTMUCHOW,PLZPCOT00018,OTM.WA,Consumer Defensive,Packaged Foods
DEKPOL,PLDEKPL00032,DEK.WA,Industrials,Engineering & Construction
ATENDE,PLATMSI00016,ATD.WA,Technology,Information Technology Services
SUNEX,PLSUNEX00013,SNX.WA,Technology,Solar
STALPROFI,PLSTLPF00012,STF.WA,Industrials,Industrial Distribution
IFIRMA,PLPWRMD00011,IFI.WA,Technology,Information Technology Services
EUROTEL,PLERTEL00011,ETL.WA,Communication Services,Telecom Services
IMS,PLINTMS00019,IMS.WA,Communication Services,Advertising Agencies
IMCOMPANY,LU0607203980,IMC.WA,Consumer Defensive,Farm Products
LENTEX,PLLENTX00010,LTX.WA,Industrials,Building Products & Equipment
ALTUS,PLATTFI00018,ALI.WA,Financial Services,Asset Management
SKARBIEC,PLSKRBH00014,SKH.WA,Financial Services,Asset Management
LOKUM,PLLKMDW00049,LKD.WA,Real Estate,Real Estate - Development
DIGITANET,PL4FNMD00013,DIG.WA,Communication Services,Broadcasting
MAKARONPL,PLMKRNP00015,MAK.WA,Consumer Defensive,Packaged Foods
GRODNO,PLGRODN00015,GRN.WA,Technology,Electronics & Computer Distribution
MOVIEGAMES,PLMVGMS00011,MOV.WA,Communication Services,Electronic Gaming & Multimedia
MOSTALWAR,PLMSTWS00019,MSW.WA,Industrials,Engineering & Construction
IPOPEMA,PLIPOPM00011,IPE.WA,Financial Services,Capital Markets
ZAMET,PLZAMET00010,ZMT.WA,Basic Materials,Steel
ROPCZYCE,PLROPCE00017,RPC.WA,Basic Materials,Building Materials
COMPREMUM,PLPZBDT00013,CPR.WA,Industrials,Engineering & Construction
INTROL,PLINTRL00013,INL.WA,Technology,Scientific & Technical Instruments
HYDROTOR,PLHDRTR00013,HDR.WA,Consumer Cyclical,Auto Parts
APLISENS,PLAPLS000016,APN.WA,Technology,Scientific & Technical Instruments
BRAND24,PLBRN2400013,B24.WA,Technology,Software - Application
BIOMAXIMA,PLBIOMX00015,BMX.WA,Healthcare,Diagnostics & Research
DELKO,PLDELKO00019,DEL.WA,Consumer Defensive,Household & Personal Products
BIGCHEESE,PLA340200015,BCS.WA,Communication Services,Electronic Gaming & Multimedia
GETIN,PLGSPR000014,GTN.WA,Financial Services,Banks - Regional
ZREMB,PLZBMZC00019,ZRE.WA,Basic Materials,Steel
ONESANO,PLSKTAN00010,ONO.WA,Basic Materials,Chemicals
ESOTIQ,PLESTHN00018,EAH.WA,Consumer Cyclical,Apparel Manufacturing
FABRITY,PLK2ITR00010,FAB.WA,Technology,Software - Application
CORMAY,PLCMRAY00029,CRM.WA,Technology,Scientific & Technical Instruments
LENA,PLLENAL00015,LEN.WA,Industrials,Electrical Equipment & Parts
IZOSTAL,PLIZSTL00015,IZS.WA,Basic Materials,Steel
IMMOBILE,PLMAKRM00019,GKI.WA,Financial Services,Asset Management
VINDEXUS,PLVNDEX00013,VIN.WA,Industrials,Specialty Business Services
MEDINICE,PLMDNCE00016,ICE.WA,Healthcare,Medical Devices
NTTSYSTEM,PLNTSYS00013,NTT.WA,Technology,Computer Hardware
PJPMAKRUM,PLPROJP00018,PJP.WA,Industrials,Engineering & Construction
URTESTE,PLURTST00010,URT.WA,Healthcare,Biotechnology
06MAGNA,PLNFI0600010,06N.WA,Financial Services,Asset Management
PROCHEM,PLPRCHM00014,PRM.WA,Industrials,Engineering & Construction
PATENTUS,PLPTNTS00019,PAT.WA,Industrials,Farm & Heavy Construction Machinery
GAMFACTOR,PLGMNGF00017,GIF.WA,Communication Services,Electronic Gaming & Multimedia
BOWIM,PLBOWM000019,BOW.WA,Basic Materials,Steel
RELPOL,PLRELPL00014,RLP.WA,Industrials,Electrical Equipment & Parts
WIKANA,PLELPO000016,WIK.WA,Real Estate,Real Estate - Development
CITYSERV,EE3100126368,CTS.WA,Industrials,Specialty Business Services
SEKO,PLSEKO000014,SEK.WA,Consumer Defensive,Packaged Foods
WASKO,PLHOGA000041,WAS.WA,Communication Services,Telecom Services
POLWAX,PLPOLWX00026,PWX.WA,Basic Materials,Specialty Chemicals
NOVAVISGR,PLNFI0500012,NVG.WA,Financial Services,Capital Markets
GAMEOPS,PLGMSOP00019,GOP.WA,Communication Services,Electronic Gaming & Multimedia
SILVAIR-REGS,USU827061099,SVRS.WA,Technology,Software - Application
ULTGAMES,PLULTGM00013,ULG.WA,Communication Services,Electronic Gaming & Multimedia
ATREM,PLATREM00017,ATR.WA,Industrials,Engineering & Construction
RENDER,PLRNDCB00011,RND.WA,Communication Services,Electronic Gaming & Multimedia
RESBUD,PLRESBD00032,RES.WA,Industrials,Engineering & Construction
NANOGROUP,PLNNGRP00011,NNG.WA,Healthcare,Biotechnology
ATLANTAPL,PLATLPL00018,ATP.WA,Consumer Defensive,Food Distribution
BBIDEV,PLNFI1200018,BBD.WA,Real Estate,Real Estate - Development
PEPEES,PLPEPES00018,PPS.WA,Consumer Defensive,Packaged Foods
WARIMPEX,AT0000827209,WXF.WA,Real Estate,Real Estate Services
PURE,PLPRBLG00010,PUR.WA,Healthcare,Biotechnology
TRANSPOL,PLTRNSP00013,TRN.WA,Industrials,Trucking
HELIO,PLHELIO00014,HEL.WA,Consumer Defensive,Packaged Foods
LSISOFT,PLLSSFT00016,LSI.WA,Technology,Software - Application
KOMPAP,PLKOMPP00017,KMP.WA,Basic Materials,Paper & Paper Products
BOOMBIT,PLBMBIT00010,BBT.WA,Communication Services,Electronic Gaming & Multimedia
KOMPUTRON,PLKMPTR00012,KOM.WA,Technology,Electronics & Computer Distribution
MIRACULUM,PLKLSTN00017,MIR.WA,Consumer Defensive,Household & Personal Products
KCI,PLPONAR00012,KCI.WA,Real Estate,Real Estate - Development
PASSUS,PLPSSUS00018,PAS.WA,Technology,Information Technology Services
YARRL,PLUNMST00014,YRL.WA,Technology,Information Technology Services
ALTA,PLTRNSU00013,AAT.WA,Financial Services,Asset Management
CAPITEA,PLGTBCK00297,CAP.WA,Financial Services,Credit Services
PHARMENA,PLPHRMN00011,PHR.WA,Healthcare,Biotechnology
SFINKS,PLSFNKS00011,SFS.WA,Consumer Cyclical,Restaurants
REMAK,PLREMAK00016,RMK.WA,Industrials,Specialty Industrial Machinery
SANTANDER,ES0113900J37,SAN.WA,Financial Services,Banks - Diversified
KRVITAMIN,PLKRVTM00010,KVT.WA,Consumer Defensive,Beverages - Non-Alcoholic
INC,PLINCLT00015,INC.WA,Financial Services,Capital Markets
ERG,PLERGZB00014,ERG.WA,Consumer Cyclical,Auto Parts
ENERGOINS,PLERGIN00015,ENI.WA,Industrials,Specialty Industrial Machinery
XPLUS,PLXPLUS00013,XPL.WA,Technology,Software - Infrastructure
TESGAS,PLTSGS000019,TSG.WA,Utilities,Utilities - Regulated Gas
BEDZIN,PLECBDZ00013,BDZ.WA,Utilities,Utilities - Regulated Electric
LIBET,PLLBT0000013,LBT.WA,Industrials,Building Products & Equipment
SANWIL,PLSANWL00012,SNW.WA,Consumer Cyclical,Footwear & Accessories
AIRWAY,PLAIRWY00017,AWM.WA,Healthcare,Medical Instruments & Supplies
WOODPCKR,PLWDPCK00017,WPR.WA,Technology,Software - Infrastructure
MOSTALPLC,PLMSTPL00018,MSP.WA,Industrials,Engineering & Construction
ATLANTIS,EE3100150319,ATS.WA,Financial Services,Credit Services
SIMFABRIC,PLSMFBC00016,SIM.WA,Communication Services,Electronic Gaming & Multimedia
KSGAGRO,LU0611262873,KSG.WA,Consumer Defensive,Farm Products
CDRL,PLCDRL000043,CDL.WA,Consumer Cyclical,Apparel Retail
PGFGROUP,PLZSTAL00012,PGV.WA,Industrials,Metal Fabrication
MUZA,PLMUZA000019,MZA.WA,Communication Services,Publishing
LARQ,PLCAMMD00032,LRQ.WA,Communication Services,Advertising Agencies
PAMAPOL,PLPMPOL00031,PMP.WA,Consumer Defensive,Packaged Foods
CASPAR,PLCSPAM00017,CSR.WA,Financial Services,Asset Management
COALENERG,LU0646112838,CLE.WA,Energy,Thermal Coal
FASING,PLFSING00010,FSG.WA,Industrials,Metal Fabrication
PLAZACNTR,NL0011882741,PLZ.WA,Real Estate,Real Estate - Development
RAEN,PLIQPRT00017,RAE.WA,Utilities,Utilities - Renewable
LESS,PLINTGR00013,LES.WA,Consumer Cyclical,Auto Parts
DBENERGY,PLDBENR00017,DBE.WA,Industrials,Specialty Industrial Machinery
HARPER,PLHRPHG00023,HRP.WA,Consumer Defensive,Household & Personal Products
AGROTON,CY0101062111,AGT.WA,Consumer Defensive,Farm Products
SKYLINE,PLSKLNW00011,SKL.WA,Financial Services,Capital Markets
ELKOP,PLELKOP00013,EKP.WA,Real Estate,Real Estate Services
3RGAMES,PLGRNKT00019,3RG.WA,Consumer Cyclical,Internet Retail
APSENERGY,PLAPSEN00011,APE.WA,Industrials,Specialty Industrial Machinery
MDIENERGIA,PLNFI1000012,MDI.WA,Utilities,Utilities - Independent Power Producers
PROTEKTOR,PLLZPSK00019,PRT.WA,Consumer Cyclical,Footwear & Accessories
INTERSPPL,PLINTSP00038,IPO.WA,Consumer Cyclical,Specialty Retail
DRAGOENT,PLDRG0000013,DGE.WA,Communication Services,Electronic Gaming & Multimedia
BIOPLANET,PLBIOPL00013,BIP.WA,Consumer Defensive,Packaged Foods
DGA,PLDGA0000019,DGA.WA,Industrials,Consulting Services
FMG,PLTHP0000011,FMG.WA,Financial Services,Asset Management
OPTEAM,PLOPTEM00012,OPM.WA,Technology,Information Technology Services
FEERUM,PLFEERM00018,FEE.WA,Industrials,Farm & Heavy Construction Machinery
MEXPOLSKA,PLMEXPL00010,MEX.WA,Consumer Cyclical,Restaurants
PMPG,PLPEKPL00010,PGM.WA,Communication Services,Publishing
MAXCOM,PLMXCMS00016,MXC.WA,Technology,Communication Equipment
KPPD,PLKPPD000017,KPD.WA,Basic Materials,Lumber & Wood Production
BETACOM,PLBTCOM00016,BCM.WA,Technology,Information Technology Services
FON,EE3100150301,FON.WA,Financial Services,Asset Management
TALEX,PLTALEX00017,TLX.WA,Technology,Information Technology Services
COMPERIA,PLCOMPR00010,CPL.WA,Communication Services,Internet Content & Information
CELTIC,PLCELPD00013,CPD.WA,Real Estate,Real Estate - Diversified
VIVID,PLVVDGM00014,VVD.WA,Communication Services,Electronic Gaming & Multimedia
INTERBUD,PLINTBD00014,ITB.WA,Industrials,Engineering & Construction
DROZAPOL,PLDRZPL00032,DPL.WA,Industrials,Industrial Distribution
PRAGMAINK,PLPRGNK00017,PRI.WA,Financial Services,Credit Services
TENDERHUT,PLTNDRH00012,THG.WA,Technology,Software - Application
NTCAPITAL,PLECMNG00019,NTC.WA,Financial Services,Capital Markets
AIGAMES,PLSNTFG00017,ALG.WA,Communication Services,Electronic Gaming & Multimedia
NEXITY,PLWDMCP00013,NXG.WA,Technology,Software - Application
IZOLACJA,PLIZCJR00017,IZO.WA,Basic Materials,Building Materials
IIAAV,AT0000A21KS2,IIA.WA,Real Estate,Real Estate - Diversified
MOJ,PLMOJ0000015,MOJ.WA,Industrials,Specialty Industrial Machinery
SILVANO,EE3100001751,SFG.WA,Consumer Cyclical,Apparel Manufacturing
EUROHOLD,BG1100114062,EHG.WA,Financial Services,Insurance - Diversified
ADIUVO,PLADVIV00015,ADV.WA,Healthcare,Medical Devices
MBWS,FR0000060873,MBW.WA,Consumer Defensive,Beverages - Wineries & Distilleries
SOPHARMA,BG11SOSOBT18,SPH.WA,Healthcare,Medical Distribution
NOVATURAS,LT0000131872,NTU.WA,Consumer Cyclical,Travel Services
