company,ISIN,yf_ticker,sector,industry
PKOBP,PLPKO0000016,PKO.WA,Financial Services,Banks - Regional
PKNORLEN,PLPKN0000018,PKN.WA,Energy,Oil & Gas Integrated
PEKAO,PLPEKAO00016,PEO.WA,Financial Services,Banks - Regional
PZU,PLPZU0000011,PZU.WA,Financial Services,Insurance - Property & Casualty
KGHM,PLKGHM000017,KGH.WA,Basic Materials,Copper
ALLEGRO,LU2237380790,ALE.WA,Consumer Cyclical,Internet Retail
LPP,PLLPP0000011,LPP.WA,Consumer Cyclical,Apparel Manufacturing
DINOPL,PLDINPL00011,DNP.WA,Consumer Defensive,Grocery Stores
SANPL,PLBZ00000044,SPL.WA,Financial Services,Banks - Regional
CDPROJEKT,PLOPTTC00011,CDR.WA,Communication Services,Electronic Gaming & Multimedia
MBANK,PLBRE0000012,MBK.WA,Financial Services,Banks - Regional
ASSECOPOL,PLSOFTB00016,ACP.WA,Technology,Software - Application
INGBSK,PLBSK0000017,ING.WA,Financial Services,Banks - Regional
BENEFIT,PLBNFTS00018,BFT.WA,Consumer Cyclical,Leisure
ALIOR,PLALIOR00045,ALR.WA,Financial Services,Banks - Diversified
MILLENNIUM,PLBIG0000016,MIL.WA,Financial Services,Banks - Regional
PGE,PLPGER000010,PGE.WA,Utilities,Utilities - Regulated Electric
ZABKA,LU2910446546,ZAB.WA,Consumer Defensive,Grocery Stores
TAURONPE,PLTAURN00011,TPE.WA,Utilities,Utilities - Renewable
KETY,PLKETY000011,KTY.WA,Basic Materials,Aluminum
CCC,PLCCC0000016,CCC.WA,Consumer Cyclical,Apparel Retail
KRUK,PLKRK0000010,KRU.WA,Financial Services,Credit Services
BUDIMEX,PLBUDMX00013,BDX.WA,Industrials,Engineering & Construction
ORANGEPL,PLTLKPL00017,OPL.WA,Communication Services,Telecom Services
XTB,PLXTRDM00011,XTB.WA,Financial Services,Capital Markets
INTERCARS,PLINTCS00010,CAR.WA,Consumer Cyclical,Auto Parts
ENEA,PLENEA000013,ENA.WA,Utilities,Utilities - Regulated Electric
PEPCO,NL0015000AU7,PCO.WA,Consumer Defensive,Discount Stores
DEVELIA,PLLCCRP00017,DVL.WA,Real Estate,Real Estate - Development
CYFRPLSAT,PLCFRPT00013,CPS.WA,Communication Services,Entertainment
HANDLOWY,PLBH00000012,BHW.WA,Financial Services,Banks - Regional
DIAG,PLDGNST00012,DIA.WA,Healthcare,Diagnostics & Research
BNPPPL,PLBGZ0000010,BNP.WA,Financial Services,Banks - Regional
DOMDEV,PLDMDVL00012,DOM.WA,Real Estate,Real Estate - Development
NEWAG,PLNEWAG00012,NWG.WA,Industrials,Railroads
ASSECOSEE,PLASSEE00014,ASE.WA,Technology,Software - Application
RAINBOW,PLRNBWT00031,RBW.WA,Consumer Cyclical,Travel Services
ASSECOBS,PLABS0000018,ABS.WA,Technology,Software - Application
GPW,PLGPW0000017,GPW.WA,Financial Services,Financial Data & Stock Exchanges
JSW,PLJSW0000015,JSW.WA,Basic Materials,Coking Coal
AUTOPARTN,PLATPRT00018,APR.WA,Consumer Cyclical,Auto Parts
GRUPRACUJ,PLGRPRC00015,GPP.WA,Industrials,Staffing & Employment Services
SYNEKTIK,PLSNKTK00019,SNT.WA,Healthcare,Medical Devices
ABPL,PLAB00000019,ABE.WA,Technology,Electronics & Computer Distribution
NEUCA,PLTRFRM00018,NEU.WA,Healthcare,Medical Distribution
CYBERFLKS,PLR220000018,CBF.WA,Technology,Information Technology Services
VERCOM,PLVRCM000016,VRC.WA,Technology,Software - Application
PEP,PLPLSEP00013,PEP.WA,Utilities,Utilities - Independent Power Producers
VOXEL,PLVOXEL00014,VOX.WA,Healthcare,Diagnostics & Research
WIRTUALNA,PLWRTPL00027,WPL.WA,Technology,Software - Infrastructure
MIRBUD,PLMRBUD00015,MRB.WA,Industrials,Engineering & Construction
GRUPAAZOTY,PLZATRM00012,ATT.WA,Basic Materials,Agricultural Inputs
ASBIS,CY1000031710,ASB.WA,Technology,Electronics & Computer Distribution
GTC,PLGTC0000037,GTC.WA,Real Estate,Real Estate Services
LUBAWA,PLLUBAW00013,LBW.WA,Industrials,Aerospace & Defense
MOBRUK,PLMOBRK00013,MBR.WA,Industrials,Waste Management
COMP,PLCMP0000017,CMP.WA,Technology,Information Technology Services
AMREST,ES0105375002,EAT.WA,Consumer Cyclical,Restaurants
TEXT,PLLVTSF00010,TXT.WA,Technology,Software - Application
ECHO,PLECHPS00019,ECH.WA,Real Estate,Real Estate - Diversified
ARCHICOM,PLARHCM00016,ARH.WA,Real Estate,Real Estate - Development
MENNICA,PLMNNCP00011,MNC.WA,Industrials,Metal Fabrication
MURAPOL,PLMURPL00190,MUR.WA,Consumer Cyclical,Residential Construction
HUUUGE,US44853H1086,HUG.WA,Communication Services,Electronic Gaming & Multimedia
SHOPER,PLSHPR000021,SHO.WA,Technology,Software - Application
FERRO,PLFERRO00016,FRO.WA,Industrials,Building Products & Equipment
MLPGROUP,PLMLPGR00017,MLG.WA,Real Estate,Real Estate Services
POLIMEXMS,PLMSTSD00019,PXM.WA,Industrials,Engineering & Construction
CREOTECH,PLCRTCH00017,CRI.WA,Industrials,Aerospace & Defense
VRG,PLVSTLA00011,VRG.WA,Consumer Cyclical,Apparel Manufacturing
MOL,HU0000153937,MOL.WA,Energy,Oil & Gas Refining & Marketing
ATAL,PLATAL000046,1AT.WA,Real Estate,Real Estate - Development
TORPOL,PLTORPL00016,TOR.WA,Industrials,Engineering & Construction
EUROCASH,PLEURCH00011,EUR.WA,Consumer Defensive,Grocery Stores
SELVITA,PLSLVCR00029,SLV.WA,Healthcare,Diagnostics & Research
UNICREDIT,IT0005239360,UCG.WA,Financial Services,Banks - Regional
SANOK,PLSTLSK00016,SNK.WA,Consumer Cyclical,Auto Parts
ENTER,PLENTER00017,ENT.WA,Industrials,Airlines
APATOR,PLAPATR00018,APT.WA,Industrials,Electrical Equipment & Parts
DATAWALK,PLPILAB00012,DAT.WA,Technology,Software - Infrastructure
CLNPHARMA,PLCLNPH00015,CLN.WA,Healthcare,Drug Manufacturers - Specialty & Generic
11BIT,PL11BTS00015,11B.WA,Communication Services,Electronic Gaming & Multimedia
STALPROD,PLSTLPD00017,STP.WA,Basic Materials,Steel
